date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:19	401/401	---M--	200	added ('OK')	text/plain	etag:%221e41e58251ed71:0%22	http://teretacorda.ioc2u.com/robots.txt		(from )
21:40:20	33190/33190	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Nov%202022%2001:40:14%20GMT	http://teretacorda.ioc2u.com/	D:/dxn/capturador/teretacorda.ioc2u.com/index.html	(from )
21:40:22	377/377	---M--	200	added ('OK')	text/css	etag:%2230d8d9d9391ed71:0%22	http://teretacorda.ioc2u.com/site/include/bg_image.css	D:/dxn/capturador/teretacorda.ioc2u.com/site/include/bg_image.css	(from http://teretacorda.ioc2u.com/)
21:40:26	1111/1111	---M--	200	added ('OK')	text/css	etag:%22b3403ae5391ed71:0%22	http://teretacorda.ioc2u.com/site/SocialWidget/SocialWidget.css	D:/dxn/capturador/teretacorda.ioc2u.com/site/SocialWidget/SocialWidget.css	(from http://teretacorda.ioc2u.com/)
21:40:27	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/dxn/capturador/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://teretacorda.ioc2u.com/)
21:40:28	1132/1132	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Nov%202022%2001:40:22%20GMT	http://teretacorda.ioc2u.com/site/Bio.asp?KL=392245	D:/dxn/capturador/teretacorda.ioc2u.com/site/Bio548c.html	(from http://teretacorda.ioc2u.com/)
21:40:30	2143/2143	---M--	200	added ('OK')	application/javascript	etag:%22fda23ce5391ed71:0%22	http://teretacorda.ioc2u.com/site/SocialWidget/SocialWidget.js	D:/dxn/capturador/teretacorda.ioc2u.com/site/SocialWidget/SocialWidget.js	(from http://teretacorda.ioc2u.com/)
21:40:30	130628/130628	---M--	200	added ('OK')	image/jpeg	etag:%22905ee08d5361d51:0%22	http://images4.pricelesspossibilities.com/PLS/BG/back61.jpg	D:/dxn/capturador/images4.pricelesspossibilities.com/PLS/BG/back61.jpg	(from http://teretacorda.ioc2u.com/)
